Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-KDI,AIRBUS INDUSTRIE,A321-231,LAND AEROPLANE,19/09/2024,89000,2012,5287,INTERNATIONAL AERO ENGINE,V2533-A5,2,AVOLON LEASING IRELAND 3 LIMITED,"NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, DUBLIN 4,"
EI-KEA,THE BOEING COMPANY,BOEING 767-3KY,LAND AEROPLANE,29/08/2022,176447,2013,42220,PRATT & WHITNEY,PW4060,2,JETYSU AVIATION LIMITED,"4th FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KEB,THE BOEING COMPANY,BOEING 767-3KY,LAND AEROPLANE,26/09/2022,176447,2013,42221,PRATT & WHITNEY,PW4060,2,JETYSU AVIATION LIMITED,"4th FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KEC,THE BOEING COMPANY,BOEING 767-3KY,LAND AEROPLANE,17/05/2022,176447,2014,42223,PRATT & WHITNEY,PW4060,2,JETYSU AVIATION LIMITED,"4th FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KEV,RAJ HAMSA X' AIR,X'AIR JABIRU(3),ANNEX I 1(E) / 450 KG,21/05/2004,450,2000,KIT 567,JABIRU,2200,1,PRIVATE INDIVIDUAL,"CARLOW,"
EI-KFA,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,08/04/2024,77000,2024,11988,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,AVOLON LEASING IRELAND 5 LIMITED,"AVOLON, NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-KFB,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,13/05/2024,77000,2024,12005,INTERNATIONAL AERO ENGINE,PW1127G-JM,2,AVOLON LEASING IRELAND 5 LIMITED,"AVOLON, NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-KFC,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,20/06/2024,77000,2024,12128,INTERNATIONAL AERO ENGINE,PW1127G-JM,2,AVOLON LEASING IRELAND 5 LIMITED,"AVOLON, NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-KFE,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,05/07/2024,77000,2013,05738,INTERNATIONAL AERO ENGINE,V2527-A5,2,ORIENTAL LEASING 5 COMPANY LIMITED,"105-108 LOWER BAGGOT STREET, DUBLIN 2,"
EI-KGA,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,30/08/2022,97000,2019,8837,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGB,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,21/02/2022,97000,2020,8980,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,JIN SHAN 45 IRELAND COMPANY LIMITED,"2-4 ELY PLACE, DUBLIN 2,"
EI-KGC,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,17/05/2022,97000,2020,9080,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,SFV AIRCRAFT HOLDINGS IRE 6 DESIGNATED ACTIVITY COMPANY,"32 MOLESWORTH STREET, DUBLIN 2,"
EI-KGD,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,08/09/2021,97000,2020,9432,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGE,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,30/11/2021,97000,2021,10176,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGF,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,18/05/2022,97000,2021,10427,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGG,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,01/12/2021,97000,2021,10421,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGH,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,02/05/2022,97000,2022,10534,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGI,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,09/12/2022,97000,2022,10902,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGJ,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,12/10/2022,97000,2022,10916,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KGK,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,19/10/2023,97000,2023,11542,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC CLOVER IRELAND LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-KHA,YABORA INDUSTRIA AERONAUTICA SA,ERJ 190-300,LAND AEROPLANE,20/10/2021,53000,2018,19020012,PRATT & WHITNEY,PW1919G,2,ARTEMIS FUNDING LIMITED,"1st FLOOR, 118 LOWER BAGGOT STREET, DUBLIN 2,"
EI-KHB,YABORA INDUSTRIA AERONAUTICA SA,ERJ 190-300,LAND AEROPLANE,30/11/2021,53000,2019,19020013,PRATT & WHITNEY,PW1919G,2,ARTEMIS FUNDING LIMITED,"1st FLOOR, 118 LOWER BAGGOT STREET, DUBLIN 2,"
EI-KHC,EMBRAER S.A.,ERJ 190-300,LAND AEROPLANE,15/03/2022,53000,2019,19020014,PRATT & WHITNEY,PW1919G,2,ARTEMIS FUNDING LIMITED,"1st FLOOR, 118 LOWER BAGGOT STREET, DUBLIN 2,"
EI-KHD,EMBRAER S.A.,ERJ 190-300,LAND AEROPLANE,15/03/2022,53000,2019,19020017,PRATT & WHITNEY,PW1919G,2,AZORRA AIRCRAFT IRELAND 4 LIMITED,"1st FLOOR, 118 LOWER BAGGOT STREET, DUBLIN 2,"
EI-KHE,EMBRAER S.A.,ERJ 190-300,LAND AEROPLANE,26/09/2022,53000,2019,19020019,PRATT & WHITNEY,PW1919G,2,AZORRA AIRCRAFT IRELAND 1 LIMITED,"1st FLOOR, 118 LOWER BAGGOT STREET, DUBLIN 2,"
EI-KIA,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,25/06/2024,77000,2024,12096,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,AVOLON LEASING IRELAND 3 LIMITED,"NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, DUBLIN 4,"
EI-KIB,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,06/08/2024,77000,2024,12223,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,AVOLON LEASING IRELAND 3 LIMITED,"NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, DUBLIN 4,"
EI-KIC,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,13/08/2024,77000,2024,12236,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,AVOLON LEASING IRELAND 5 LIMITED,"AVOLON, NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-LAD,ROBINSON HELICOPTER COMPANY,ROBINSON R44 II,ROTORCRAFT,16/09/2008,1134,2005,10779,LYCOMING,IO-540-AE1A5,1,HELICOPTER SUPPORT IRELAND LIMITED,"CHURCHTOWN NORTH, MIDLETON, CO. CORK,"
EI-LCM,S.O.C.A.T.A.,SOCATA TBM700 N,LAND AEROPLANE,13/06/2008,3354,2008,436,PRATT & WHITNEY CANADA,PT6A-66D,1,TARA FLYING GROUP,"MEATH,"
EI-LDA,AIRBUS INDUSTRIE,A300 F4-605R,LAND AEROPLANE,27/09/2024,170500,2004,855,GENERAL ELECTRIC COMPANY,CF6-80C2A5F,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-LDC,AIRBUS INDUSTRIE,A300 F4-605R,LAND AEROPLANE,08/03/2024,170500,2004,857,GENERAL ELECTRIC COMPANY,CF6-80C2A5F,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-LDD,AIRBUS INDUSTRIE,A300 F4-605R,LAND AEROPLANE,24/08/2023,170500,2004,858,GENERAL ELECTRIC COMPANY,CF6-80C2A5F,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-LDE,AIRBUS INDUSTRIE,A300 F4-605R,LAND AEROPLANE,28/06/2024,170500,2004,859,GENERAL ELECTRIC COMPANY,CF6-80C2A5F,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-LDF,AIRBUS INDUSTRIE,A300 F4-605R,LAND AEROPLANE,20/09/2024,170500,2004,860,GENERAL ELECTRIC COMPANY,CF6-80C2A5F,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-LFC,COSTRUZIONI AERONAUTICHE TECNAM SRL,TECNAM P2002-JF,LAND AEROPLANE,10/07/2007,580,2007,63,ROTAX,912-S2,1,LIMERICK FLYING CLUB (COONAGH) COMPANY LIMITED BY GUARANTEE,"COONAGH AIRFIELD, LIMERICK,"
EI-LID,LEONARDO S.p.A. HELICOPTERS,AW169,ROTORCRAFT,21/12/2016,4800,2016,69015,PRATT & WHITNEY CANADA,PW210A1,2,VERTICAL AVIATION NO. 1 LIMITED,"MINERVA HOUSE, 2ND FLOOR, SIMMONSCOURT ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-LIM,AGUSTA SPA,AW139,ROTORCRAFT,10/04/2014,6800,2014,31541,PRATT & WHITNEY CANADA,PT6C-67C,2,WESTAIR AVIATION LIMITED,"SOUTHEAST RAMP, SHANNON INDUSTRIAL ESTATE, SHANNON, CO. CLARE,"
EI-LKC,AIRBUS INDUSTRIE,A330-243F,LAND AEROPLANE,09/09/2024,233000,2015,1688,RR DEUTSCHLAND LTD & CO KG,RB211 TRENT 772B-60,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-LOW,EUROCOPTER,AS355N,ROTORCRAFT,18/02/2011,2600,2000,5685,TURBOMECA,ARRIUS 1A,2,EXECUTIVE HELICOPTER MAINTENANCE LIMITED,"BARRATOOR, KYLEBRACK, LOUGHREA, CO. GALWAY,"
EI-LRA,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,26/07/2019,97000,2019,08887,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LRB,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,24/09/2019,97000,2019,08909,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LRC,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,14/10/2019,97000,2019,08965,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LRD,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,27/02/2020,97000,2019,09187,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LRE,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,21/12/2020,97000,2020,10245,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LRF,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,21/06/2021,97000,2020,10264,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LRG,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,30/03/2021,97000,2021,10291,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LRH,AIRBUS INDUSTRIE,A321-253NX,LAND AEROPLANE,09/05/2023,97000,2021,10319,CFM,LEAP-1A33,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-LSA,CUB CRAFTERS INC,CC11-160,LAND AEROPLANE,08/08/2012,599,2009,CC11-00096,CUBCRAFTERS,CC340,1,DIRECTSKY AVIATION LIMITED,"12C BEULAH BUILDING, FINISKLIN ROAD , SLIGO,"
EI-LSN,GULFSTREAM AEROSPACE CORPORATION,GULFSTREAM GVI,LAND AEROPLANE,13/12/2016,45177,2014,6092,ROLLS-ROYCE PLC,BR700-725A1-12,2,GAIN JET IRELAND LIMITED,"OLD TERMINAL BUILDING, SHANNON INTERNATIONAL AIRPORT, SHANNON, CO. CLARE,"
EI-LSY,GULFSTREAM AEROSPACE CORPORATION,GULFSTREAM GV-SP,LAND AEROPLANE,30/11/2016,41277,2012,5350,BMW ROLLS-ROYCE GMBH,BR700-710C4-11,2,GAIN JET IRELAND LIMITED,"OLD TERMINAL BUILDING, SHANNON INTERNATIONAL AIRPORT, SHANNON, CO. CLARE,"
EI-MAA,AIRBUS INDUSTRIE,A330-243,LAND AEROPLANE,26/05/2021,233000,2007,0854,ROLLS-ROYCE PLC,RB211 TRENT 772B-60,2,ALTITUDE AIRCRAFT (EY) (330) I LIMITED,"32 MOLESWORTH STREET, DUBLIN 2,"
EI-MAF,AIRBUS INDUSTRIE,A330-343,LAND AEROPLANE,03/11/2022,235000,2016,1712,RR DEUTSCHLAND LTD & CO KG,RB211 TRENT 772B-60,2,AIRBUS FINANCIAL SERVICES LIMITED,"5TH FLOOR, 6 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-MAW,AIRBUS POLAND S.A.,PZL-KOLIBER 160A,LAND AEROPLANE,14/10/2022,950,2001,04010087,LYCOMING,O-320-D2A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-MAZ,AIRBUS INDUSTRIE,A330-343,LAND AEROPLANE,03/05/2024,242000,2017,1789,RR DEUTSCHLAND LTD & CO KG,RB211 TRENT 772B-60,2,AIRBUS FINANCIAL SERVICES LIMITED,"5TH FLOOR, 6 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-MCG,CESSNA AIRCRAFT COMPANY,CESSNA 172R,LAND AEROPLANE,18/11/2008,1111,2008,17281539,LYCOMING,IO-360-L2A,1,GALWAY FLYING CLUB COMPANY LIMITED BY GUARANTEE,"GALWAY AIRPORT, CARNMORE, CO. GALWAY,"
EI-MCM,GULFSTREAM AEROSPACE CORPORATION,GULFSTREAM GVIII-G700,LAND AEROPLANE,03/10/2024,48806,2024,87029,,BR700-730B2-14,2,WESTAIR AVIATION LIMITED,"SOUTHEAST RAMP, SHANNON INDUSTRIAL ESTATE, SHANNON, CO. CLARE,"
EI-MGL,THE BOEING COMPANY,BOEING 787-9,LAND AEROPLANE,09/08/2023,252650,2019,60326,GENERAL ELECTRIC COMPANY,GEnx-1B74/75/P2,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-MIK,AIRBUS HELICOPTERS,EC120B,ROTORCRAFT,31/10/2001,1715,2000,1104,TURBOMECA,ARRIUS 2F,1,EXECUTIVE HELICOPTER MAINTENANCE LIMITED,"BARRATOOR, KYLEBRACK, LOUGHREA, CO. GALWAY,"
EI-MIR,ROKO AERO AS,ROKO AERO NG 4HD,LAND AEROPLANE,24/09/2009,600,2009,017/2009,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"LOUTH,"
EI-MNG,THE BOEING COMPANY,BOEING 737-8,LAND AEROPLANE,30/01/2019,82190,2019,43795,CFM,LEAP-1B27,2,AVOLON AEROSPACE (IRELAND) AOE 171 LIMITED,"NUMBER ONE BALLSBRIDGE, BUILDING 1 SHELBOURNE ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-MPW,ROBINSON HELICOPTER COMPANY,ROBINSON R44,ROTORCRAFT,14/02/2006,1089,2005,1554,LYCOMING,O-540-F1B5,1,CONNACHT HELICOPTERS LIMITED,"RATHKIP, BALLINA, Co. Mayo,"
EI-MRB,CREE AE,DENNEY KITFOX MK2,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,03/09/2014,431,1991,PFA 172-11752,ROTAX,582/48,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-MTZ,URBAN AIR S.R.O.,SAMBA XXL,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,16/06/2008,540,2007,SAXL68,ROTAX,912-ULS-2,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-MVE,AIRBUS CANADA LIMITED PARTNERSHIP,BD-500-1A10,LAND AEROPLANE,29/11/2024,54885,2024,50080,PRATT & WHITNEY,PW1524G,2,AURORA FINANCING 3 DESIGNATED ACTIVITY COMPANY,"1st FLOOR, THE LIFFEY TRUST CENTRE, 117-126 SHERIFF STREET UPPER, DUBLN 1,"
EI-MXV,FLYLIGHT AIRSPORTS LTD,SKYRANGER NYNJA 450,ANNEX I 1(E) / 450 KG,02/11/2023,450,2023,373-22,ROTAX,912-ULS-01,1,EICD VENTURES LIMITED,"CRADDENSTOWN, RAHARNEY, MULLINGAR, CO. WESTMEATH,"
EI-MYY,AIRBUS INDUSTRIE,A330-243,LAND AEROPLANE,22/06/2021,233000,2007,0868,ROLLS-ROYCE PLC,RB211 TRENT 772B-60,2,ALTITUDE AIRCRAFT (EY) (330) I LIMITED,"32 MOLESWORTH STREET, DUBLIN 2,"
EI-NEO,THE BOEING COMPANY,BOEING 787-9,LAND AEROPLANE,11/12/2017,247207,2017,38785,ROLLS-ROYCE PLC,TRENT 1000-J3,2,RHODIUM FUNDING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK, SHANNON, CO. CLARE,"
EI-NEU,THE BOEING COMPANY,BOEING 787-9,LAND AEROPLANE,30/10/2018,247207,2018,38794,ROLLS-ROYCE PLC,TRENT 1000-J3,2,CESIUM FUNDING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK , SHANNON, CO. CLARE,"
EI-NEW,THE BOEING COMPANY,BOEING 787-9,LAND AEROPLANE,27/06/2018,247207,2018,38791,ROLLS-ROYCE PLC,TRENT 1000-J3,2,RHENIUM AVIATION LIMITED,"AVIATION HOUSE, SHANNON, CO. CLARE,"
EI-NFC,COSTRUZIONI AERONAUTICHE TECNAM SRL,TECNAM P-MENTOR,LAND AEROPLANE,23/06/2023,720,2023,1038,BRP-ROTAX GMBH & CO KG,BRP-ROTAX 912 iSc3 SPORT,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-NFW,CESSNA AIRCRAFT COMPANY,CESSNA 172S,LAND AEROPLANE,28/02/2006,1157,2005,172S9861,LYCOMING,IO-360-L2A,1,GALWAY FLYING CLUB COMPANY LIMITED BY GUARANTEE,"GALWAY AIRPORT, CARNMORE, CO. GALWAY,"
EI-NJA,ROBINSON HELICOPTER COMPANY,ROBINSON R44 II,ROTORCRAFT,21/12/2007,1134,2007,11945,LYCOMING,IO-540-AE1A5,1,NOJO AVIATION LIMITED,"BAWNWELL HOUSE, KILLICKABAWN, KILPEDDER, CO. WICKLOW,"
EI-NSA,AIRBUS INDUSTRIE,A320-251N,LAND AEROPLANE,30/06/2022,73500,2022,10712,CFM,LEAP-1A26,2,GY AVIATION LEASE 1711 CO. LIMITED,"1 GQ, GEORGE'S QUAY, DUBLIN 2,"
EI-NSB,AIRBUS INDUSTRIE,A320-251N,LAND AEROPLANE,19/05/2022,73500,2022,10786,CFM,LEAP-1A26,2,GY AVIATION LEASE 1711 CO. LIMITED,"1 GQ, GEORGE'S QUAY, DUBLIN 2,"
EI-NSC,AIRBUS INDUSTRIE,A320-251N,LAND AEROPLANE,14/07/2023,73500,2023,11579,CFM,LEAP-1A26,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-NSD,AIRBUS INDUSTRIE,A320-251N,LAND AEROPLANE,26/10/2023,73500,2023,11711,CFM,LEAP-1A26,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-NSE,AIRBUS INDUSTRIE,A320-251N,LAND AEROPLANE,07/06/2024,73500,2024,12190,CFM,LEAP-1A26,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-NSF,AIRBUS INDUSTRIE,A320-251N,LAND AEROPLANE,21/06/2024,73500,2024,12117,CFM,LEAP-1A26,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-NUA,THE BOEING COMPANY,BOEING 787-9,LAND AEROPLANE,15/09/2019,247207,2019,65314,ROLLS-ROYCE PLC,TRENT 1000-J3,2,ALC BLARNEY AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-NVL,JORA SPOL,JORA SPOL,ANNEX I 1(E) / HOMEBUILD 450 KG,25/07/2003,450,2002,C129,JABIRU,22A-1100,1,PRIVATE INDIVIDUAL,"LONGFORD,"
EI-NYE,THE BOEING COMPANY,BOEING 787-9,LAND AEROPLANE,07/12/2020,247207,2017,38756,ROLLS-ROYCE PLC,TRENT 1000-J3,2,CELTAGO II LEASING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK , SHANNON, CO. CLARE,"
EI-ODD,BELL HELICOPTER TEXTRON,BELL 206B,ROTORCRAFT,25/11/2005,1451,1982,3627,ROLLS-ROYCE PLC,250-C20B,1,NEWCASTLE LOGISTICS LIMITED,"NEWCASTLE AIRFIELD, SEA ROAD, NEWCASTLE, CO. WICKLOW,"
EI-OOR,CESSNA AIRCRAFT COMPANY,CESSNA 172S,LAND AEROPLANE,13/11/2012,1157,2006,172S10374,LYCOMING,IO-360-L2A,1,ATLANTIC FLIGHT TRAINING LIMITED,"UPPER BALLYGARVAN, KINSALE ROAD , CO. CORK,"
EI-OSS,AIRBUS HELICOPTERS DEUTSCHLAND GMBH,MBB-BK117 D-3,ROTORCRAFT,21/11/2024,3800,2024,21335,SAFRAN HELICOPTER ENGINES,ARRIEL 2E,2,AIRBUS HELICOPTERS UK LIMITED,"OXFORD AIRPORT, KIDLINGTON, OXFORD, OX5 1QZ, UNITED KINGDOM"
EI-PCI,BELL HELICOPTER TEXTRON,BELL 206B,ROTORCRAFT,22/06/2018,1451,1989,4072,ROLLS-ROYCE PLC,250-C20J,1,MARKETSIDE LIMITED,"DUBLIN ROAD, ASHBOURNE, CO. MEATH,"
EI-PGA,DUDEK PARAGLIDERS,DUDEK HADRON XX,ANNEX I 1(E) / POWERED PARAGLIDER,19/08/2016,170,2015,P-127451,,,0,PRIVATE INDIVIDUAL,"SLIGO,"
EI-PGB,DUDEK PARAGLIDERS,DUDEK HADRON 28,ANNEX I 1(E) / POWERED PARAGLIDER,22/02/2017,140,2013,P-109225,,,0,PRIVATE INDIVIDUAL,"MEATH,"
EI-PGD,PARAMANIA REFLEX WINGS,REVOLUTION 2,ANNEX I 1(E) / POWERED PARAGLIDER,01/02/2018,150,2008,0307646,,,0,PRIVATE INDIVIDUAL,"MEATH,"
EI-PGI,DUDEK PARAGLIDERS,DUDEK HADRON 28,ANNEX I 1(E) / POWERED PARAGLIDER,20/03/2017,140,2015,P-114571,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-PGJ,SWING,STING 2,ANNEX I 1(E) / POWERED PARAGLIDER,30/08/2016,140,2015,ST2 11-52628066,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PGK,OZONE POWER,SPYDER 26,ANNEX I 1(E) / POWERED PARAGLIDER,12/08/2016,140,2016,SD26-R-26B-047,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PGN,ITV,ITV BOXER,ANNEX I 1(E) / POWERED PARAGLIDER,13/06/2017,113,2011,2K11488,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PGO,FLY MARKET GMBH & CO. KG,RELAX 25,ANNEX I 1(E) / POWERED PARAGLIDER,14/06/2017,300,2017,RLX 4273,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PGP,PARAMANIA REFLEX WINGS,PARAMANIA FUSION 26,ANNEX I 1(E) / POWERED PARAGLIDER,21/12/2017,160,2009,0908032,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-PGS,DUDEK PARAGLIDERS,DUDEK UNIVERSAL 25.5,ANNEX I 1(E) / POWERED PARAGLIDER,21/08/2018,95,2016,P-139853,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PGT,ITV,ITV BOXER,ANNEX I 1(E) / POWERED PARAGLIDER,18/09/2018,95,2011,2K11977,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PGV,OZONE POWER,SPYDER 26,ANNEX I 1(E) / POWERED PARAGLIDER,10/04/2019,140,2018,SD26-T-21A-042,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PGW,DUDEK PARAGLIDERS,DUDEK UNIVERSAL 1.1,ANNEX I 1(E) / POWERED PARAGLIDER,28/06/2019,215,2017,P-155191,,,0,PRIVATE INDIVIDUAL,"CORK,"
EI-PHA,DUDEK PARAGLIDERS,DUDEK HADRON XX,ANNEX I 1(E) / POWERED PARAGLIDER,08/07/2021,135,2018,P-169673,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-PHB,DUDEK PARAGLIDERS,DUDEK SNAKE 1.2,ANNEX I 1(E) / POWERED PARAGLIDER,08/07/2021,120,2019,P-185051,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-PHC,OZONE POWER,ROADSTER 3,ANNEX I 1(E) / POWERED PARAGLIDER,23/07/2021,120,2019,RD324-U-22A-019,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-PHD,DUDEK PARAGLIDERS,DUDEK NEMO 4,ANNEX I 1(E) / POWERED PARAGLIDER,13/08/2021,155,2019,P-182631,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-PHF,DUDEK PARAGLIDERS,DUDEK HADRON 3,ANNEX I 1(E) / POWERED PARAGLIDER,28/03/2022,140,2021,P-229931,,,0,PRIVATE INDIVIDUAL,"KILDARE,"
EI-PHG,DUDEK PARAGLIDERS,DUDEK UNIVERSAL 1.1 28,ANNEX I 1(E) / POWERED PARAGLIDER,04/04/2022,140,2020,P210901,,,0,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-PHH,DUDEK PARAGLIDERS,DUDEK HADRON 3,ANNEX I 1(E) / POWERED PARAGLIDER,04/05/2022,155,2020,P-212721,,,0,PRIVATE INDIVIDUAL,"MAYO,"
